Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,192,18.3,17.1
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,42,6.7,6.9
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30,5.6,7.9
2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231,16.1,9.8
2010,Alzheimer's Disease (G30),F,White Non-Hispanic,247,17.3,7.5
2010,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,388,28.9,24.2
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,26,5.1,7.2
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2013,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,60,10,10.9
2009,All Other Causes,M,Other Race/ Ethnicity,18,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,3990,297.1,238.4
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126,11.6,20
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,38,.,.
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1840,215.7,268.3
2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,.,.,.
2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,.,.,.
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,191,16,16.6
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,155,10.8,5.9
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,17,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,78,13,14.6
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,290,21.7,18.2
2014,All Other Causes,M,White Non-Hispanic,2275,169.4,141.3
2012,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,57,9.8,11.4
2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.,.,.
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,28,5,6.7
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,10,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32,6.2,7.6
2011,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.,.,.
2012,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,416,29.3,15.4
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,70,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242,28,33.9
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,199,16.7,26.6
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237,17.7,15
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,272,20.3,18.7
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2243,214.3,186.7
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,58,4.8,5.2
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,68,.,.
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116,9.9,12.8
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73,13.7,19.1
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186,16.8,20.6
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169,19.9,26.4
2011,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,14,.,.
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,156,11.6,9.3
2011,All Other Causes,F,Black Non-Hispanic,1473,140.7,128.8
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,5,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,37,6.7,8
2014,All Other Causes,F,Asian and Pacific Islander,339,54.2,59
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,221,16.4,14.8
2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22,.,.
2012,All Other Causes,F,Not Stated/Unknown,53,.,.
2010,All Other Causes,F,Black Non-Hispanic,1326,126.5,117.4
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,191,16.3,19.7
2009,All Other Causes,M,Black Non-Hispanic,1246,146.7,167.7
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,11,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,6,.,.
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5,.,.
2010,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Other Race/ Ethnicity,.,.,.
2010,All Other Causes,M,White Non-Hispanic,2034,151.6,130.9
2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344,64.6,73.8
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,.,.,.
2012,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,34,.,.
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,207,24.4,33.3
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,.,.,.
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,154,12.9,16
2008,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,52,10.4,14.9
2014,Diabetes Mellitus (E10-E14),M,Hispanic,186,15.6,23.2
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,10,.,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,152,17.8,18.6
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152,12.9,16.4
2008,Diabetes Mellitus (E10-E14),F,Hispanic,228,19.3,24.1
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153,11.4,9.3
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113,9.6,9.6
2014,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,418,29.5,15.6
2014,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,502,80.2,80.6
2012,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,53,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,10,.,.
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11,.,.
2011,Alzheimer's Disease (G30),F,Asian and Pacific Islander,24,4.2,5.4
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6,.,.
2014,All Other Causes,M,Not Stated/Unknown,96,.,.
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2008,All Other Causes,F,Not Stated/Unknown,42,.,.
2014,Septicemia (A40-A41),F,White Non-Hispanic,118,8.3,4.7
2013,All Other Causes,F,Asian and Pacific Islander,320,53.3,59
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,15,.,.
2010,All Other Causes,M,Hispanic,1167,102.1,150
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295,28,26.9
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,.,.,.
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,88,6.2,6.1
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267,25.5,23.6
2010,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,25,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190,16.3,22.3
2007,All Other Causes,F,Hispanic,820,70.2,85.6
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,10,.,.
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,205,17.5,31.5
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,154,18.1,21.7
2013,All Other Causes,M,Not Stated/Unknown,139,.,.
2009,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384,36.7,33.7
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,102,17.5,20.7
2011,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1144,99.2,157.7
2009,Alzheimer's Disease (G30),F,Not Stated/Unknown,.,.,.
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.,.,.
2013,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,10,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,502,37.4,29.7
2013,All Other Causes,M,Hispanic,1193,101,146.4
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,10,.,.
2011,Alzheimer's Disease (G30),F,Not Stated/Unknown,.,.,.
2011,Diabetes Mellitus (E10-E14),M,Hispanic,200,17.3,29.2
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48,9.6,14.1
2007,Atherosclerosis (I70),F,Other Race/ Ethnicity,.,.,.
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13,2.4,3.3
2008,All Other Causes,F,Other Race/ Ethnicity,19,.,.
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,96,8,8.1
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4220,316.4,260.2
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,356,41.9,41.8
2009,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,458,31.9,19.1
2008,Diabetes Mellitus (E10-E14),M,Hispanic,191,17.3,31.3
2009,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,55,10,12.7
2009,All Other Causes,F,Hispanic,775,64.7,75.3
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,95,7.8,9.5
2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347,25.9,21.8
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,80,13.3,14.4
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,145,12.9,13.5
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,57,4.8,4.7
2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107,7.5,3.5
2010,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3408,254.1,216.6
2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5,.,.
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,144,13.8,12.4
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5016,354.1,179.8
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,71,12.8,16.1
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,119,10.6,14.1
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,73,13.8,22
2009,All Other Causes,F,Asian and Pacific Islander,220,40.1,48.9
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,21,3.7,3.7
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365,226.4,187.3
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,40,7.4,7.3
2012,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,76,7.3,6.3
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58,11.3,15.8
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,17,.,.
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,169,13.6,15.7
2013,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,9,.,.
2008,All Other Causes,M,Not Stated/Unknown,67,.,.
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,155,18,21.6
2009,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,398,72.5,83.5
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,221,21.1,18.6
2012,All Other Causes,M,Hispanic,1199,102.6,150.5
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,115,.,.
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,531,95.8,123.7
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,46,8.8,8.7
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,29,5.2,5.4
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725,260.1,243.6
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,74,13.2,16.9
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,.,.
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,211,15.7,14.5
2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12,.,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121,248.9,340.2
2010,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,7,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,220,21,17.9
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2008,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,473,95,123.5
2014,Alzheimer's Disease (G30),F,Asian and Pacific Islander,26,4.2,4.7
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,89,15.8,19.2
2013,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,96,17.3,21.1
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,143,16.7,21.3
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,204,19.5,16.9
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,258,19.2,16.4
2007,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,395,76.7,88.4
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,8,.,.
2012,All Other Causes,M,White Non-Hispanic,2316,172.9,145.7
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,5,.,.
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,195,14.5,13.1
2010,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,147,12.8,20.9
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,274,26.1,21.4
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,186,21.5,25.4
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,152,14.5,12.9
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,178,20.9,27.7
2007,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3518,245.2,167.4
2010,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,.,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,76,.,.
2013,Alzheimer's Disease (G30),F,Black Non-Hispanic,106,10.1,8
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,50,8.7,8.7
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8,.,.
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,.,.,.
2014,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,186,21.5,21.5
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32,6,8
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632,421,350.7
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,28,4.5,4.2
2009,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,227,16.9,14.2
2008,All Other Causes,M,Black Non-Hispanic,1216,143.2,163.5
2013,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,265,19.7,16.4
2009,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,.,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4495,335.1,277
2009,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.,.,.
2009,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,163,11.4,7.8
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,48,.,.
2014,All Other Causes,M,Hispanic,1195,100.1,143.3
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,17,3.3,3.5
2011,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1590,186.4,224.4
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,201,23.6,31.8
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240,16.9,10.3
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,108,.,.
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2007,All Other Causes,F,Not Stated/Unknown,27,.,.
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227,21.7,20
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162,11.3,7.3
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,105,18.3,25
2012,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,352,26.3,21.8
2007,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,45,.,.
2009,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,290,21.6,18.2
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,103,8.8,10.1
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,63,5,4.9
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109,9.3,9.5
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,61,11.5,14.8
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.,.,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077,244.6,330.2
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,.,.,.
2009,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.,.,.
2008,All Other Causes,F,White Non-Hispanic,1706,118.9,78.6
2013,Septicemia (A40-A41),F,White Non-Hispanic,135,9.5,5
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245,18.3,15.4
2010,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,614,45.8,37.6
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,437,32.5,26.4
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,34,5.8,6.4
2013,Alzheimer's Disease (G30),F,White Non-Hispanic,263,18.5,8.4
2013,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,8,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279,26.5,25.3
2013,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146,97.1,148.5
2012,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,11,.,.
2010,All Other Causes,F,Other Race/ Ethnicity,27,.,.
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,189,16,19
2010,Atherosclerosis (I70),F,Not Stated/Unknown,.,.,.
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5,.,.
2007,All Other Causes,M,Hispanic,988,90.6,142.6
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,39,7.2,10.8
2014,All Other Causes,F,White Non-Hispanic,2578,181.9,110.7
2010,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,258,18,11.1
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8,.,.
2009,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,555,41.3,34.3
2007,All Other Causes,M,Asian and Pacific Islander,221,45.7,61.2
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,24,.,.
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,7,.,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,66,5.2,5.4
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9,.,.
2011,All Other Causes,M,Not Stated/Unknown,38,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4156,310.3,252.4
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218,17.8,21.5
2011,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1085,88.6,99.6
2014,All Other Causes,M,Other Race/ Ethnicity,74,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,50,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,279,20.7,18.7
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,138,12.1,12.9
2009,All Other Causes,F,Not Stated/Unknown,26,.,.
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,49,9.3,9.4
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,183,16.3,30.9
2014,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292,21.7,18.1
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132,11.3,19.2
2013,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1592,185.5,212.8
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,196,22.7,21.7
2012,Alzheimer's Disease (G30),F,Black Non-Hispanic,115,11,8.9
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,223,26.1,25.8
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,12,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,451,79.1,86.1
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,.,.,.
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,166,11.7,8.1
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345,25.8,21.7
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,36,.,.
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3142,234,195.1
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,72,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2194,209.1,169.1
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,61,11.1,14.1
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218,20,23.1
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,106,.,.
